     Input  Canonical    Reduced
      ECrg       ECLw       ECLw -C-R- [(0, 3), (1, 5), (2, 4), (2, 5), (3, 4), (3, 5), (4, 5)]
      ECro       EGUw       EGUw -C-R- [(0, 5), (1, 2), (1, 4), (2, 5), (3, 4), (3, 5), (4, 5)]
      ECrw       EANw       EANw -C-R- [(0, 5), (1, 3), (1, 5), (2, 4), (2, 5), (3, 4), (3, 5), (4, 5)]
      ECuw       E@lw        DD[ -C-_- [(0, 4), (1, 5), (2, 3), (2, 4), (2, 5), (3, 4), (3, 5), (4, 5)]
      ECvo       EHNW        DIk -C-_- [(0, 5), (1, 2), (1, 5), (2, 3), (2, 4), (3, 4), (3, 5), (4, 5)]
      ECvw       E@^w        DB{ -C-_- [(0, 5), (1, 4), (1, 5), (2, 3), (2, 4), (2, 5), (3, 4), (3, 5), (4, 5)]
      ECxo       E@zO       E@zO -C-R- [(0, 4), (0, 5), (1, 4), (1, 5), (2, 3), (2, 4), (3, 5)]
      ECxw       E@zW       E@zW -C-R- [(0, 4), (0, 5), (1, 4), (1, 5), (2, 3), (2, 4), (3, 5), (4, 5)]
      ECzW       E@tw       E@tw -C-R- [(0, 4), (1, 4), (1, 5), (2, 3), (2, 5), (3, 4), (3, 5), (4, 5)]
      ECzg       EC\w        DC[ -C-_- [(0, 3), (1, 4), (1, 5), (2, 4), (2, 5), (3, 4), (3, 5), (4, 5)]
      ECzo       EENg       EENg -C-R- [(0, 3), (0, 5), (1, 3), (1, 5), (2, 4), (2, 5), (3, 4), (4, 5)]
      ECzw       EC^w       EC^w -C-R- [(0, 3), (0, 5), (1, 4), (1, 5), (2, 4), (2, 5), (3, 4), (3, 5), (4, 5)]
      EC~o       E@~o        DFw -C-_- [(0, 4), (0, 5), (1, 4), (1, 5), (2, 3), (2, 4), (2, 5), (3, 4), (3, 5)]
      EC~w       E@~w         CF -C-_- [(0, 4), (0, 5), (1, 4), (1, 5), (2, 3), (2, 4), (2, 5), (3, 4), (3, 5), (4, 5)]
      EEhW       EBUg       EBUg -C-R- [(0, 5), (1, 3), (1, 4), (2, 3), (2, 5), (3, 4), (4, 5)]
      EEh_       EqGW       EqGW -C-R- [(0, 1), (0, 2), (1, 3), (2, 4), (3, 5), (4, 5)]
      EEho       EBqg       EBqg -C-R- [(0, 4), (0, 5), (1, 3), (1, 4), (2, 3), (2, 5), (4, 5)]
      EEhw       EEhw       EEhw -_-R- [(0, 3), (0, 4), (1, 3), (1, 5), (2, 4), (2, 5), (3, 5), (4, 5)]
      EEiW       E@lo        DDW -C-_- [(0, 4), (1, 5), (2, 3), (2, 4), (2, 5), (3, 4), (3, 5)]
      EEio       EIMW       EIMW -C-R- [(0, 5), (1, 2), (1, 3), (2, 4), (3, 4), (3, 5), (4, 5)]
      EEjW       EPTw       EPTw -C-R- [(0, 2), (1, 4), (1, 5), (2, 3), (2, 5), (3, 4), (3, 5), (4, 5)]
      EEj_       E`hW       E`hW -C-R- [(0, 1), (0, 4), (1, 5), (2, 3), (2, 4), (3, 5), (4, 5)]
      EEjo       EQdw       EQdw -C-R- [(0, 2), (0, 4), (1, 3), (1, 5), (2, 5), (3, 4), (3, 5), (4, 5)]
      EEjw       EDZw       EDZw -C-R- [(0, 3), (0, 5), (1, 4), (1, 5), (2, 3), (2, 4), (2, 5), (3, 5), (4, 5)]
      EElw       EElw       EElw -_-R- [(0, 3), (0, 4), (1, 3), (1, 5), (2, 4), (2, 5), (3, 4), (3, 5), (4, 5)]
      EEno       EBng       EBng -C-R- [(0, 4), (0, 5), (1, 3), (1, 5), (2, 3), (2, 4), (2, 5), (3, 4), (4, 5)]
      EEnw       ED^w       ED^w -C-R- [(0, 3), (0, 5), (1, 4), (1, 5), (2, 3), (2, 4), (2, 5), (3, 4), (3, 5), (4, 5)]
      EEr_       EBYW       EBYW -C-R- [(0, 5), (1, 3), (1, 4), (2, 3), (2, 4), (3, 5), (4, 5)]
      EEro       EBYw       EBYw -C-R- [(0, 5), (1, 3), (1, 4), (2, 3), (2, 4), (2, 5), (3, 5), (4, 5)]
      EErw       EINw       EINw -C-R- [(0, 5), (1, 2), (1, 3), (1, 5), (2, 4), (2, 5), (3, 4), (3, 5), (4, 5)]
      EEuw       ED\w        DD[ -C-_- [(0, 3), (1, 4), (1, 5), (2, 3), (2, 4), (2, 5), (3, 4), (3, 5), (4, 5)]
      EEvo       EI]w       EI]w -C-R- [(0, 5), (1, 2), (1, 3), (1, 4), (2, 4), (2, 5), (3, 4), (3, 5), (4, 5)]
      EEvw       EB^w        DB{ -C-_- [(0, 5), (1, 3), (1, 4), (1, 5), (2, 3), (2, 4), (2, 5), (3, 4), (3, 5), (4, 5)]
      EEzO       EJYW        DIk -C-_- [(0, 5), (1, 2), (1, 3), (1, 4), (2, 3), (2, 4), (3, 5), (4, 5)]
      EEz_       ELhW       ELhW -C-R- [(0, 3), (0, 4), (1, 2), (1, 5), (2, 3), (2, 4), (3, 5), (4, 5)]
      EEzg       EImw        DIk -C-_- [(0, 4), (0, 5), (1, 2), (1, 3), (2, 4), (2, 5), (3, 4), (3, 5), (4, 5)]
      EEzo       EbYw       EbYw -C-R- [(0, 1), (0, 5), (1, 3), (1, 4), (2, 3), (2, 4), (2, 5), (3, 5), (4, 5)]
      EEzw       EInw       EInw -C-R- [(0, 4), (0, 5), (1, 2), (1, 3), (1, 5), (2, 4), (2, 5), (3, 4), (3, 5), (4, 5)]
      EE~w       EB~w        DB{ -C-_- [(0, 4), (0, 5), (1, 3), (1, 4), (1, 5), (2, 3), (2, 4), (2, 5), (3, 4), (3, 5), (4, 5)]
      EFzW       EB~o       EB~o -C-R- [(0, 4), (0, 5), (1, 3), (1, 4), (1, 5), (2, 3), (2, 4), (2, 5), (3, 4), (3, 5)]
      EFz_       E]ow       E]ow -C-R- [(0, 2), (0, 3), (0, 4), (1, 2), (1, 3), (1, 4), (2, 5), (3, 5), (4, 5)]
      EFzo       EFzg        DFw -C-_- [(0, 3), (0, 4), (0, 5), (1, 3), (1, 4), (1, 5), (2, 3), (2, 4), (2, 5), (4, 5)]
      EFzw       EFzw       EFzw -_-R- [(0, 3), (0, 4), (0, 5), (1, 3), (1, 4), (1, 5), (2, 3), (2, 4), (2, 5), (3, 5), (4, 5)]
      EF~w       EF~w         CF -_-_- [(0, 3), (0, 4), (0, 5), (1, 3), (1, 4), (1, 5), (2, 3), (2, 4), (2, 5), (3, 4), (3, 5), (4, 5)]
      EQjO       E`ow         CR -C-_- [(0, 1), (0, 4), (1, 4), (2, 3), (2, 5), (3, 5), (4, 5)]
      EQj_       EQSw        DDW -C-_- [(0, 2), (1, 3), (1, 4), (2, 5), (3, 4), (3, 5), (4, 5)]
      EQjg       E`Lw         CR -C-_- [(0, 1), (1, 5), (2, 3), (2, 4), (2, 5), (3, 4), (3, 5), (4, 5)]
      EQjo       EKdw         CR -C-_- [(0, 3), (0, 4), (1, 2), (1, 5), (2, 5), (3, 4), (3, 5), (4, 5)]
      EQjw       E`Nw         BW -C-_- [(0, 1), (0, 5), (1, 5), (2, 3), (2, 4), (2, 5), (3, 4), (3, 5), (4, 5)]
      EQyw       E`lw        DMk -C-_- [(0, 1), (0, 4), (1, 5), (2, 3), (2, 4), (2, 5), (3, 4), (3, 5), (4, 5)]
      EQzO       ETXW       ETXW -C-R- [(0, 2), (0, 3), (1, 4), (1, 5), (2, 3), (2, 4), (3, 5), (4, 5)]
      EQzW       EQlw       EQlw -C-R- [(0, 2), (0, 4), (1, 3), (1, 5), (2, 4), (2, 5), (3, 4), (3, 5), (4, 5)]
      EQzg       EK\w         CR -C-_- [(0, 3), (1, 2), (1, 4), (1, 5), (2, 4), (2, 5), (3, 4), (3, 5), (4, 5)]
      EQzo       EJqw        DMk -C-_- [(0, 4), (0, 5), (1, 2), (1, 3), (1, 4), (2, 3), (2, 5), (3, 5), (4, 5)]
      EQzw       EK^w        DR{ -C-_- [(0, 3), (0, 5), (1, 2), (1, 4), (1, 5), (2, 4), (2, 5), (3, 4), (3, 5), (4, 5)]
      EQ~o       E`~o         Cr -C-_- [(0, 1), (0, 4), (0, 5), (1, 4), (1, 5), (2, 3), (2, 4), (2, 5), (3, 4), (3, 5)]
      EQ~w       E`~w         BW -C-_- [(0, 1), (0, 4), (0, 5), (1, 4), (1, 5), (2, 3), (2, 4), (2, 5), (3, 4), (3, 5), (4, 5)]
      ETno       ER\w         CR -C-_- [(0, 2), (1, 3), (1, 4), (1, 5), (2, 3), (2, 4), (2, 5), (3, 4), (3, 5), (4, 5)]
      ETnw       EJ^w         BW -C-_- [(0, 5), (1, 2), (1, 3), (1, 4), (1, 5), (2, 3), (2, 4), (2, 5), (3, 4), (3, 5), (4, 5)]
      ETzg       ET\w         CR -C-_- [(0, 2), (0, 3), (1, 4), (1, 5), (2, 3), (2, 4), (2, 5), (3, 4), (3, 5), (4, 5)]
      ETzo       ER^W        DMk -C-_- [(0, 2), (0, 5), (1, 3), (1, 4), (1, 5), (2, 3), (2, 4), (3, 4), (3, 5), (4, 5)]
      ETzw       ER^w        DR{ -C-_- [(0, 2), (0, 5), (1, 3), (1, 4), (1, 5), (2, 3), (2, 4), (2, 5), (3, 4), (3, 5), (4, 5)]
      ET~w       EJ~w         BW -C-_- [(0, 4), (0, 5), (1, 2), (1, 3), (1, 4), (1, 5), (2, 3), (2, 4), (2, 5), (3, 4), (3, 5), (4, 5)]
      EUZO       E`lo        DqK -C-_- [(0, 1), (0, 4), (1, 5), (2, 3), (2, 4), (2, 5), (3, 4), (3, 5)]
      EUZ_       ED^_       ED^_ -C-R- [(0, 3), (0, 5), (1, 4), (1, 5), (2, 3), (2, 4), (2, 5), (3, 4)]
      EUZo       EMhw       EMhw -C-R- [(0, 3), (0, 4), (1, 2), (1, 3), (1, 5), (2, 4), (2, 5), (3, 5), (4, 5)]
      EUZw       EqNw       EqNw -C-R- [(0, 1), (0, 2), (0, 5), (1, 3), (1, 5), (2, 4), (2, 5), (3, 4), (3, 5), (4, 5)]
      EUxo       Erow       Erow -C-R- [(0, 1), (0, 2), (0, 4), (1, 3), (1, 4), (2, 3), (2, 5), (3, 5), (4, 5)]
      EUzW       EJuw       EJuw -C-R- [(0, 4), (0, 5), (1, 2), (1, 3), (1, 4), (2, 3), (2, 5), (3, 4), (3, 5), (4, 5)]
      EUzo       ERzW       ERzW -C-R- [(0, 2), (0, 4), (0, 5), (1, 3), (1, 4), (1, 5), (2, 3), (2, 4), (3, 5), (4, 5)]
      EUzw       EMnw       EMnw -C-R- [(0, 3), (0, 4), (0, 5), (1, 2), (1, 3), (1, 5), (2, 4), (2, 5), (3, 4), (3, 5), (4, 5)]
      EU~w       ER~w        DR{ -C-_- [(0, 2), (0, 4), (0, 5), (1, 3), (1, 4), (1, 5), (2, 3), (2, 4), (2, 5), (3, 4), (3, 5), (4, 5)]
      EV~w       EN~w         BW -C-_- [(0, 3), (0, 4), (0, 5), (1, 2), (1, 3), (1, 4), (1, 5), (2, 3), (2, 4), (2, 5), (3, 4), (3, 5), (4, 5)]
      E]yw       Et\w         Cr -C-_- [(0, 1), (0, 2), (0, 3), (1, 4), (1, 5), (2, 3), (2, 4), (2, 5), (3, 4), (3, 5), (4, 5)]
      E]zg       EJ~o         Cr -C-_- [(0, 4), (0, 5), (1, 2), (1, 3), (1, 4), (1, 5), (2, 3), (2, 4), (2, 5), (3, 4), (3, 5)]
      E]zo       ER~o       ER~o -C-R- [(0, 2), (0, 4), (0, 5), (1, 3), (1, 4), (1, 5), (2, 3), (2, 4), (2, 5), (3, 4), (3, 5)]
      E]zw       ENzw        Dr{ -C-_- [(0, 3), (0, 4), (0, 5), (1, 2), (1, 3), (1, 4), (1, 5), (2, 3), (2, 4), (2, 5), (3, 5), (4, 5)]
      E]~o       E}lw       E}lw -C-R- [(0, 1), (0, 2), (0, 3), (0, 4), (1, 2), (1, 3), (1, 5), (2, 4), (2, 5), (3, 4), (3, 5), (4, 5)]
      E]~w       Er~w        Dr{ -C-_- [(0, 1), (0, 2), (0, 4), (0, 5), (1, 3), (1, 4), (1, 5), (2, 3), (2, 4), (2, 5), (3, 4), (3, 5), (4, 5)]
      E^~w       E^~w         BW -_-_- [(0, 2), (0, 3), (0, 4), (0, 5), (1, 2), (1, 3), (1, 4), (1, 5), (2, 3), (2, 4), (2, 5), (3, 4), (3, 5), (4, 5)]
      E~~w       E~~w          @ -_-_- [(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (1, 2), (1, 3), (1, 4), (1, 5), (2, 3), (2, 4), (2, 5), (3, 4), (3, 5), (4, 5)]
