     Input  Canonical    Reduced
--------------------------------
      E?Bw       E?Bw       E?Bw -_-R- [(0, 5), (1, 5), (2, 5), (3, 5), (4, 5)]
      E?bo       E?`w       E?`w -C-R- [(0, 4), (1, 5), (2, 5), (3, 5), (4, 5)]
      E?bw       E?Fw        D?{ -C-_- [(0, 5), (1, 5), (2, 5), (3, 4), (3, 5), (4, 5)]
      E?ow       E?ow       E?ow -_-R- [(0, 4), (1, 4), (2, 5), (3, 5), (4, 5)]
      E?qo       ECDg       ECDg -C-R- [(0, 3), (1, 5), (2, 5), (3, 4), (4, 5)]
      E?qw       E?dw       E?dw -C-R- [(0, 4), (1, 5), (2, 5), (3, 4), (3, 5), (4, 5)]
      E?ro       E@JW       E@JW -C-R- [(0, 5), (1, 5), (2, 3), (2, 4), (3, 5), (4, 5)]
      E?rw       E?Nw       E?Nw -C-R- [(0, 5), (1, 5), (2, 4), (2, 5), (3, 4), (3, 5), (4, 5)]
      E?zO       E?lo       E?lo -C-R- [(0, 4), (1, 5), (2, 4), (2, 5), (3, 4), (3, 5)]
      E?zW       E?lw       E?lw -C-R- [(0, 4), (1, 5), (2, 4), (2, 5), (3, 4), (3, 5), (4, 5)]
      E?zo       E?^o       E?^o -C-R- [(0, 5), (1, 4), (1, 5), (2, 4), (2, 5), (3, 4), (3, 5)]
      E?zw       E?^w       E?^w -C-R- [(0, 5), (1, 4), (1, 5), (2, 4), (2, 5), (3, 4), (3, 5), (4, 5)]
      E?~o       E?~o       E?~o -_-R- [(0, 4), (0, 5), (1, 4), (1, 5), (2, 4), (2, 5), (3, 4), (3, 5)]
      E?~w       E?~w        D?{ -_-_- [(0, 4), (0, 5), (1, 4), (1, 5), (2, 4), (2, 5), (3, 4), (3, 5), (4, 5)]
      ECR_       ECOw       ECOw -C-R- [(0, 3), (1, 4), (2, 5), (3, 5), (4, 5)]
      ECRo       E@`w        DC[ -C-_- [(0, 4), (1, 5), (2, 3), (2, 5), (3, 5), (4, 5)]
      ECRw       EGFw         CF -C-_- [(0, 5), (1, 2), (1, 5), (2, 5), (3, 4), (3, 5), (4, 5)]
      ECYW       E@NG        DC[ -C-_- [(0, 5), (1, 5), (2, 3), (2, 4), (3, 4), (4, 5)]
      ECZ?       E@hO       E@hO -C-R- [(0, 4), (1, 5), (2, 3), (2, 4), (3, 5)]
      ECZG       ECLg       ECLg -C-R- [(0, 3), (1, 5), (2, 4), (2, 5), (3, 4), (4, 5)]
      ECZO       E`Ow        DDW -C-_- [(0, 1), (1, 4), (2, 3), (2, 5), (3, 5), (4, 5)]
      ECZW       EGdw        DD[ -C-_- [(0, 4), (1, 2), (1, 5), (2, 5), (3, 4), (3, 5), (4, 5)]
      ECZ_       EI_w       EI_w -C-R- [(0, 4), (1, 2), (1, 3), (2, 5), (3, 5), (4, 5)]
      ECZg       E_Lw       E_Lw -C-R- [(0, 1), (1, 5), (2, 4), (2, 5), (3, 4), (3, 5), (4, 5)]
      ECZo       EK`w        DIk -C-_- [(0, 3), (0, 4), (1, 2), (1, 5), (2, 5), (3, 5), (4, 5)]
      ECZw       E_Nw        DB{ -C-_- [(0, 1), (0, 5), (1, 5), (2, 4), (2, 5), (3, 4), (3, 5), (4, 5)]
      ECfo       E@NW        DC[ -C-_- [(0, 5), (1, 5), (2, 3), (2, 4), (3, 4), (3, 5), (4, 5)]
      ECfw       E@Nw         CF -C-_- [(0, 5), (1, 5), (2, 3), (2, 4), (2, 5), (3, 4), (3, 5), (4, 5)]
      ECpo       EIIW       EIIW -C-R- [(0, 5), (1, 2), (1, 3), (2, 4), (3, 5), (4, 5)]
      ECqg       ECSw       ECSw -C-R- [(0, 3), (1, 4), (2, 5), (3, 4), (3, 5), (4, 5)]
      ECr_       E@hW       E@hW -C-R- [(0, 4), (1, 5), (2, 3), (2, 4), (3, 5), (4, 5)]
