     Input  Canonical    Reduced
    G?ABF{     G@??^{      F??^w -C-_- [(0, 7), (1, 7), (2, 3), (2, 7), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?ABc[     G??KZc      F?B@w -C-_- [(0, 6), (1, 7), (2, 7), (3, 7), (4, 5), (4, 6), (5, 6), (6, 7)]
    G?ABeO     G?@CXo     G?@CXo -C-R- [(0, 6), (1, 5), (2, 7), (3, 7), (4, 6), (4, 7), (5, 6)]
    G?ABeS     G?@CXs     G?@CXs -C-R- [(0, 6), (1, 5), (2, 7), (3, 7), (4, 6), (4, 7), (5, 6), (6, 7)]
    G?ABeW     G?CEHw      F?BHo -C-_- [(0, 6), (1, 6), (2, 7), (3, 4), (3, 7), (4, 7), (5, 6), (5, 7)]
    G?ABe[     G?CEH{      F?BHw -C-_- [(0, 6), (1, 6), (2, 7), (3, 4), (3, 7), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?ABfO     GC?AXw     GC?AXw -C-R- [(0, 3), (1, 6), (2, 7), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7)]
    G?ABfS     GC?AX{     GC?AX{ -C-R- [(0, 3), (1, 6), (2, 7), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?ABfW     G@?CZw      F?AZo -C-_- [(0, 6), (1, 7), (2, 3), (2, 7), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7)]
    G?ABf[     G@?CZ{      F?AZw -C-_- [(0, 6), (1, 7), (2, 3), (2, 7), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?ABfo     GO??zw     GO??zw -C-R- [(0, 2), (1, 7), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7)]
    G?ABfs     GO??z{     GO??z{ -C-R- [(0, 2), (1, 7), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?ABfw     GG??~w      F??~o -C-_- [(0, 7), (1, 2), (1, 7), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7)]
    G?ABf{     GG??~{      F??~w -C-_- [(0, 7), (1, 2), (1, 7), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
