     Input  Canonical    Reduced
    G?qaaw     G@p@G{     G@p@G{ -C-R- [(0, 4), (1, 4), (1, 5), (2, 3), (2, 6), (3, 7), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?qabG     GA``Gs     GA``Gs -C-R- [(0, 4), (1, 3), (1, 5), (2, 5), (2, 6), (3, 7), (4, 7), (5, 6), (6, 7)]
    G?qabK     GGQH_{     GGQH_{ -C-R- [(0, 5), (1, 2), (1, 4), (2, 6), (3, 6), (3, 7), (4, 5), (4, 7), (5, 7), (6, 7)]
    G?qabW     G_Oh_{     G_Oh_{ -C-R- [(0, 1), (1, 4), (2, 5), (2, 6), (3, 6), (3, 7), (4, 5), (4, 7), (5, 7), (6, 7)]
    G?qab[     GAEJ@{     GAEJ@{ -C-R- [(0, 5), (1, 3), (1, 6), (2, 6), (2, 7), (3, 4), (3, 7), (4, 5), (4, 7), (5, 7), (6, 7)]
    G?qabg     GG`T?{     GG`T?{ -C-R- [(0, 4), (0, 6), (1, 2), (1, 5), (2, 6), (3, 5), (3, 7), (4, 7), (5, 7), (6, 7)]
    G?qabw     GAiAH{     GAiAH{ -C-R- [(0, 4), (0, 5), (1, 3), (1, 6), (2, 4), (2, 7), (3, 7), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?qacK     G@?kYo     G@?kYo -C-R- [(0, 6), (1, 7), (2, 3), (2, 5), (3, 7), (4, 5), (4, 6), (4, 7), (5, 6)]
    G?qacW     GDGGYK      F?Ma_ -C-_- [(0, 3), (1, 7), (2, 3), (2, 4), (4, 5), (4, 6), (5, 6), (5, 7), (6, 7)]
    G?qac[     G?cr?{     G?cr?{ -C-R- [(0, 4), (1, 6), (2, 5), (2, 6), (3, 4), (3, 5), (3, 7), (4, 7), (5, 7), (6, 7)]
    G?qacg     GAL@KK     GAL@KK -C-R- [(0, 7), (1, 3), (1, 5), (2, 4), (2, 6), (3, 4), (5, 6), (5, 7), (6, 7)]
    G?qacw     GHOKG{     GHOKG{ -C-R- [(0, 6), (1, 2), (1, 4), (2, 3), (3, 7), (4, 5), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?qadK     GGo_g{     GGo_g{ -C-R- [(0, 4), (1, 2), (1, 4), (2, 5), (3, 6), (3, 7), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?qadO     GGd@Gk     GGd@Gk -C-R- [(0, 4), (1, 2), (1, 5), (2, 6), (3, 4), (3, 7), (5, 6), (5, 7), (6, 7)]
    G?qadW     GWOGg{     GWOGg{ -C-R- [(0, 2), (1, 2), (1, 4), (3, 6), (3, 7), (4, 5), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?qad[     GEOHH{     GEOHH{ -C-R- [(0, 3), (1, 3), (1, 4), (2, 6), (2, 7), (3, 7), (4, 5), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?qad_     G_G\Ac     G_G\Ac -C-R- [(0, 1), (0, 6), (1, 7), (2, 4), (2, 6), (3, 5), (3, 7), (4, 5), (6, 7)]
    G?qadg     GW_QG{     GW_QG{ -C-R- [(0, 2), (0, 4), (1, 2), (1, 6), (3, 5), (3, 7), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?qadk     G_EaP{     G_EaP{ -C-R- [(0, 1), (0, 5), (1, 6), (2, 5), (2, 7), (3, 4), (3, 7), (4, 6), (4, 7), (5, 7), (6, 7)]
    G?qado     GI_cG{     GI_cG{ -C-R- [(0, 4), (0, 6), (1, 2), (1, 3), (2, 5), (3, 7), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?qadw     GcGIH{     GcGIH{ -C-R- [(0, 1), (0, 3), (1, 6), (2, 4), (2, 7), (3, 7), (4, 5), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?qad{     G@FCR{     G@FCR{ -C-R- [(0, 5), (0, 6), (1, 5), (1, 7), (2, 3), (2, 7), (3, 4), (3, 7), (4, 6), (4, 7), (5, 7), (6, 7)]
    G?qaeG     GCKHIK     GCKHIK -C-R- [(0, 3), (1, 7), (2, 4), (2, 6), (3, 4), (4, 5), (5, 6), (5, 7), (6, 7)]
    G?qaeK     GCOpO{     GCOpO{ -C-R- [(0, 3), (1, 4), (2, 5), (2, 6), (3, 5), (3, 7), (4, 6), (4, 7), (5, 7), (6, 7)]
    G?qaeO     GQ?HWw      F?Ma_ -C-_- [(0, 2), (1, 3), (2, 6), (3, 7), (4, 5), (4, 6), (4, 7), (5, 6), (5, 7)]
    G?qaeW     GKCHG{     GKCHG{ -C-R- [(0, 3), (1, 2), (2, 6), (3, 4), (3, 7), (4, 5), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?qae[     G?Ma`{     G?Ma`{ -C-R- [(0, 5), (1, 6), (2, 4), (2, 5), (2, 7), (3, 4), (3, 6), (3, 7), (4, 7), (5, 7), (6, 7)]
    G?qaeg     G@QJ?{     G@QJ?{ -C-R- [(0, 5), (1, 4), (1, 6), (2, 3), (2, 6), (3, 7), (4, 5), (4, 7), (5, 7), (6, 7)]
    G?qaew     GICKH{     GICKH{ -C-R- [(0, 6), (1, 2), (1, 3), (2, 7), (3, 4), (3, 7), (4, 5), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?qaf?     GG`PGs     GG`PGs -C-R- [(0, 4), (1, 2), (1, 5), (2, 6), (3, 5), (3, 7), (4, 7), (5, 6), (6, 7)]
    G?qafG     G_W_g{     G_W_g{ -C-R- [(0, 1), (1, 4), (2, 4), (2, 5), (3, 6), (3, 7), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?qafK     GAd@H{     GAd@H{ -C-R- [(0, 4), (1, 3), (1, 5), (2, 6), (2, 7), (3, 4), (3, 7), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?qafO     G`OHG{     G`OHG{ -C-R- [(0, 1), (1, 4), (2, 3), (2, 6), (3, 7), (4, 5), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?qafW     GaCHH{     GaCHH{ -C-R- [(0, 1), (1, 3), (2, 6), (2, 7), (3, 4), (3, 7), (4, 5), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?qaf[     GPCIJ{     GPCIJ{ -C-R- [(0, 2), (1, 6), (1, 7), (2, 3), (2, 7), (3, 4), (3, 7), (4, 5), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?qaf_     GCQb?{     GCQb?{ -C-R- [(0, 3), (0, 5), (1, 4), (1, 6), (2, 5), (2, 6), (3, 7), (4, 7), (5, 7), (6, 7)]
    G?qafg     GAIM@{     GAIM@{ -C-R- [(0, 5), (0, 6), (1, 3), (1, 6), (2, 4), (2, 7), (3, 7), (4, 5), (4, 7), (5, 7), (6, 7)]
    G?qafk     GAISR{     GAISR{ -C-R- [(0, 5), (0, 6), (1, 3), (1, 7), (2, 4), (2, 7), (3, 5), (3, 7), (4, 6), (4, 7), (5, 7), (6, 7)]
    G?qafo     GQAIP{     GQAIP{ -C-R- [(0, 2), (0, 5), (1, 3), (1, 6), (2, 7), (3, 7), (4, 5), (4, 6), (4, 7), (5, 7), (6, 7)]
    G?qafw     GQCKJ{     GQCKJ{ -C-R- [(0, 2), (0, 6), (1, 3), (1, 7), (2, 7), (3, 4), (3, 7), (4, 5), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?qaf{     G?Maf{     G?Maf{ -C-R- [(0, 5), (0, 7), (1, 6), (1, 7), (2, 4), (2, 5), (2, 7), (3, 4), (3, 6), (3, 7), (4, 7), (5, 7), (6, 7)]
    G?qaxw     G?hcyw     G?hcyw -C-R- [(0, 4), (0, 6), (1, 5), (1, 7), (2, 4), (2, 5), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7)]
    G?qax{     G?Su\[     G?Su\[ -C-R- [(0, 6), (0, 7), (1, 4), (1, 6), (2, 5), (2, 7), (3, 4), (3, 5), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?qay{     G?gqy{      F?gqw -C-_- [(0, 4), (1, 6), (1, 7), (2, 4), (2, 5), (3, 5), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?qaz[     G?Wq{{     G?Wq{{ -C-R- [(0, 7), (1, 4), (1, 6), (2, 4), (2, 5), (3, 5), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?qazk     G?Lek{     G?Lek{ -C-R- [(0, 6), (0, 7), (1, 5), (1, 6), (2, 4), (2, 5), (3, 4), (3, 6), (3, 7), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?qazs     GB?k}[     GB?k}[ -C-R- [(0, 6), (0, 7), (1, 3), (1, 7), (2, 3), (2, 5), (3, 6), (4, 5), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?qazw     G?NKrk     G?NKrk -C-R- [(0, 5), (0, 6), (1, 5), (1, 7), (2, 4), (2, 7), (3, 4), (3, 6), (3, 7), (4, 5), (4, 6), (5, 7), (6, 7)]
    G?qaz{     G?qPz{     G?qPz{ -C-R- [(0, 4), (0, 5), (1, 4), (1, 7), (2, 6), (2, 7), (3, 5), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?qa|w     G?h[rk     G?h[rk -C-R- [(0, 4), (0, 6), (1, 5), (1, 7), (2, 4), (2, 7), (3, 5), (3, 6), (3, 7), (4, 5), (4, 6), (5, 7), (6, 7)]
    G?qa|{     G?UTZ{     G?UTZ{ -C-R- [(0, 5), (0, 6), (1, 4), (1, 7), (2, 6), (2, 7), (3, 4), (3, 5), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?qa}W     G?K|Qk     G?K|Qk -C-R- [(0, 6), (1, 7), (2, 4), (2, 5), (2, 6), (3, 4), (3, 5), (3, 7), (4, 5), (4, 6), (5, 7), (6, 7)]
    G?qa}w     G?W{rk     G?W{rk -C-R- [(0, 6), (1, 4), (1, 7), (2, 4), (2, 5), (2, 7), (3, 5), (3, 6), (3, 7), (4, 5), (4, 6), (5, 7), (6, 7)]
    G?qa}{     G?gqz{     G?gqz{ -C-R- [(0, 4), (1, 6), (1, 7), (2, 4), (2, 5), (2, 7), (3, 5), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?qa~K     G@DLj[     G@DLj[ -C-R- [(0, 6), (1, 5), (1, 7), (2, 3), (2, 6), (2, 7), (3, 4), (3, 6), (4, 5), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?qa~S     GGG\i{     GGG\i{ -C-R- [(0, 6), (1, 2), (1, 7), (2, 4), (2, 6), (3, 5), (3, 6), (3, 7), (4, 5), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?qa~W     G?gyrk     G?gyrk -C-R- [(0, 4), (1, 6), (1, 7), (2, 4), (2, 5), (2, 7), (3, 5), (3, 6), (3, 7), (4, 5), (4, 6), (5, 7), (6, 7)]
    G?qa~[     G?Wsz{     G?Wsz{ -C-R- [(0, 6), (1, 4), (1, 7), (2, 4), (2, 5), (2, 7), (3, 5), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?qa~_     G@HLmo     G@HLmo -C-R- [(0, 6), (0, 7), (1, 5), (1, 7), (2, 3), (2, 4), (2, 6), (3, 6), (3, 7), (4, 5), (4, 7), (5, 6)]
    G?qa~c     G@HLms     G@HLms -C-R- [(0, 6), (0, 7), (1, 5), (1, 7), (2, 3), (2, 4), (2, 6), (3, 6), (3, 7), (4, 5), (4, 7), (5, 6), (6, 7)]
    G?qa~g     G@Iq]s     G@Iq]s -C-R- [(0, 5), (0, 7), (1, 6), (1, 7), (2, 3), (2, 4), (2, 5), (3, 5), (3, 7), (4, 6), (4, 7), (5, 6), (6, 7)]
    G?qa~k     G@IR]{     G@IR]{ -C-R- [(0, 5), (0, 7), (1, 6), (1, 7), (2, 3), (2, 4), (2, 6), (3, 5), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?qa~o     GGIo}s     GGIo}s -C-R- [(0, 5), (0, 7), (1, 2), (1, 7), (2, 4), (2, 5), (3, 5), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (6, 7)]
    G?qa~s     GP?Z]{     GP?Z]{ -C-R- [(0, 2), (0, 7), (1, 6), (1, 7), (2, 3), (2, 6), (3, 5), (3, 7), (4, 5), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?qa~w     G?gyvk     G?gyvk -C-R- [(0, 4), (0, 7), (1, 6), (1, 7), (2, 4), (2, 5), (2, 7), (3, 5), (3, 6), (3, 7), (4, 5), (4, 6), (5, 7), (6, 7)]
    G?qa~{     G?gq~{     G?gq~{ -C-R- [(0, 4), (0, 7), (1, 6), (1, 7), (2, 4), (2, 5), (2, 7), (3, 5), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?qb@o     GGDPSK     GGDPSK -C-R- [(0, 7), (1, 2), (1, 5), (2, 6), (3, 4), (3, 5), (4, 6), (5, 7), (6, 7)]
    G?qbBw     GAL@K{     GAL@K{ -C-R- [(0, 7), (1, 3), (1, 5), (2, 4), (2, 6), (3, 4), (3, 7), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?qbDo     G@Oic[     G@Oic[ -C-R- [(0, 7), (1, 4), (1, 6), (2, 3), (2, 5), (3, 6), (4, 5), (4, 7), (5, 7), (6, 7)]
    G?qbE_     G?LacK     G?LacK -C-R- [(0, 7), (1, 5), (1, 6), (2, 4), (2, 5), (3, 4), (3, 6), (5, 7), (6, 7)]
    G?qbEo     GB@HS[     GB@HS[ -C-R- [(0, 7), (1, 3), (1, 5), (2, 3), (2, 6), (4, 5), (4, 6), (4, 7), (5, 7), (6, 7)]
    G?qbEw     GGDPS{     GGDPS{ -C-R- [(0, 7), (1, 2), (1, 5), (2, 6), (3, 4), (3, 5), (3, 7), (4, 6), (4, 7), (5, 7), (6, 7)]
    G?qbF_     G?XPc[     G?XPc[ -C-R- [(0, 7), (1, 4), (1, 5), (2, 4), (2, 6), (3, 5), (3, 6), (4, 7), (5, 7), (6, 7)]
    G?qbFo     G?SrC{     G?SrC{ -C-R- [(0, 7), (1, 4), (1, 6), (2, 5), (2, 6), (3, 4), (3, 5), (3, 7), (4, 7), (5, 7), (6, 7)]
    G?qbFw     G?Lad{     G?Lad{ -C-R- [(0, 7), (1, 5), (1, 6), (2, 4), (2, 5), (2, 7), (3, 4), (3, 6), (3, 7), (4, 7), (5, 7), (6, 7)]
    G?qbF{     GIGO^{     GIGO^{ -C-R- [(0, 7), (1, 2), (1, 3), (1, 7), (2, 4), (2, 7), (3, 5), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?qbQ{     G?XPk{     G?XPk{ -C-R- [(0, 7), (1, 4), (1, 5), (2, 4), (2, 6), (3, 5), (3, 6), (3, 7), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?qbRw     G@SbK{     G@SbK{ -C-R- [(0, 7), (1, 4), (1, 6), (2, 3), (2, 5), (2, 6), (3, 4), (3, 7), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?qbSs     G@Da[[     G@Da[[ -C-R- [(0, 7), (1, 5), (1, 6), (2, 3), (2, 5), (3, 4), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?qbS{     G?LRK{     G?LRK{ -C-R- [(0, 7), (1, 5), (1, 6), (2, 4), (2, 6), (3, 4), (3, 5), (3, 7), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?qbTg     GJ?gs[     GJ?gs[ -C-R- [(0, 7), (1, 2), (1, 3), (2, 3), (2, 5), (3, 6), (4, 5), (4, 6), (4, 7), (5, 7), (6, 7)]
    G?qbTs     G@HQ[{     G@HQ[{ -C-R- [(0, 7), (1, 5), (1, 6), (2, 3), (2, 4), (3, 5), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?qbTw     GHCJK{     GHCJK{ -C-R- [(0, 7), (1, 2), (1, 6), (2, 3), (2, 6), (3, 4), (3, 7), (4, 5), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?qbT{     G?Lal{     G?Lal{ -C-R- [(0, 7), (1, 5), (1, 6), (2, 4), (2, 5), (2, 7), (3, 4), (3, 6), (3, 7), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?qbUg     GBKaK[     GBKaK[ -C-R- [(0, 7), (1, 3), (1, 6), (2, 3), (2, 4), (2, 5), (3, 4), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?qbUs     GGOXk{     GGOXk{ -C-R- [(0, 7), (1, 2), (1, 4), (2, 6), (3, 5), (3, 6), (3, 7), (4, 5), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?qbUw     GIC`[{     GIC`[{ -C-R- [(0, 7), (1, 2), (1, 3), (2, 5), (2, 6), (3, 4), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?qbU{     G?Wql{     G?Wql{ -C-R- [(0, 7), (1, 4), (1, 6), (2, 4), (2, 5), (2, 7), (3, 5), (3, 6), (3, 7), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?qbV_     G@Lac[     G@Lac[ -C-R- [(0, 7), (1, 5), (1, 6), (2, 3), (2, 4), (2, 5), (3, 4), (3, 6), (4, 7), (5, 7), (6, 7)]
    G?qbVg     GGSrC{     GGSrC{ -C-R- [(0, 7), (1, 2), (1, 4), (1, 6), (2, 5), (2, 6), (3, 4), (3, 5), (3, 7), (4, 7), (5, 7), (6, 7)]
    G?qbVo     GBH@[{     GBH@[{ -C-R- [(0, 7), (1, 3), (1, 5), (2, 3), (2, 4), (2, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?qbVs     GAOp\{     GAOp\{ -C-R- [(0, 7), (1, 3), (1, 4), (2, 5), (2, 6), (2, 7), (3, 5), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?qbVw     GBHA\{     GBHA\{ -C-R- [(0, 7), (1, 3), (1, 5), (1, 6), (2, 3), (2, 4), (2, 7), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?qbV{     G?Lan{     G?Lan{ -C-R- [(0, 7), (1, 5), (1, 6), (1, 7), (2, 4), (2, 5), (2, 7), (3, 4), (3, 6), (3, 7), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?qbZw     G?Litk     G?Litk -C-R- [(0, 7), (1, 5), (1, 6), (2, 4), (2, 5), (2, 7), (3, 4), (3, 6), (3, 7), (4, 5), (4, 6), (5, 7), (6, 7)]
    G?qbZ{     G?XP|{     G?XP|{ -C-R- [(0, 7), (1, 4), (1, 5), (2, 4), (2, 6), (2, 7), (3, 5), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?qb]w     G?Wytk     G?Wytk -C-R- [(0, 7), (1, 4), (1, 6), (2, 4), (2, 5), (2, 7), (3, 5), (3, 6), (3, 7), (4, 5), (4, 6), (5, 7), (6, 7)]
    G?qb]{     G?Wq|{     G?Wq|{ -C-R- [(0, 7), (1, 4), (1, 6), (2, 4), (2, 5), (2, 7), (3, 5), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?qb^o     GGPo|s     GGPo|s -C-R- [(0, 7), (1, 2), (1, 4), (1, 5), (2, 5), (2, 7), (3, 5), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (6, 7)]
    G?qb^s     GI?i|{     GI?i|{ -C-R- [(0, 7), (1, 2), (1, 3), (1, 6), (2, 5), (2, 7), (3, 6), (3, 7), (4, 5), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?qb^w     G?Livk     G?Livk -C-R- [(0, 7), (1, 5), (1, 6), (1, 7), (2, 4), (2, 5), (2, 7), (3, 4), (3, 6), (3, 7), (4, 5), (4, 6), (5, 7), (6, 7)]
    G?qb^{     G?XP~{     G?XP~{ -C-R- [(0, 7), (1, 4), (1, 5), (1, 7), (2, 4), (2, 6), (2, 7), (3, 5), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?qb_w     G?FLR_     G?FLR_ -C-R- [(0, 5), (0, 6), (1, 5), (1, 7), (2, 6), (2, 7), (3, 4), (3, 7), (4, 5), (4, 6)]
    G?qbaw     GBEM@[     GBEM@[ -C-R- [(0, 5), (0, 6), (1, 3), (1, 6), (2, 3), (2, 7), (3, 4), (4, 5), (4, 7), (5, 7), (6, 7)]
    G?qba{     GE_JH{     GE_JH{ -C-R- [(0, 3), (0, 4), (1, 3), (1, 6), (2, 6), (2, 7), (3, 7), (4, 5), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?qbbO     GGSXcK     GGSXcK -C-R- [(0, 7), (1, 2), (1, 4), (2, 6), (3, 4), (3, 5), (3, 6), (4, 5), (5, 7), (6, 7)]
    G?qbbS     GIC_{[     GIC_{[ -C-R- [(0, 7), (1, 2), (1, 3), (2, 5), (3, 4), (3, 6), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?qbbW     GPHQO{     GPHQO{ -C-R- [(0, 2), (1, 5), (1, 6), (2, 3), (2, 4), (3, 5), (3, 7), (4, 6), (4, 7), (5, 7), (6, 7)]
    G?qbb[     GIGSX{     GIGSX{ -C-R- [(0, 6), (1, 2), (1, 3), (2, 4), (2, 7), (3, 5), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?qbbc     GBOc[[      FBOcW -C-_- [(0, 6), (0, 7), (1, 3), (1, 4), (2, 3), (2, 5), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?qbbo     G`EI`[     G`EI`[ -C-R- [(0, 1), (0, 5), (1, 6), (2, 3), (2, 7), (3, 4), (3, 6), (4, 5), (4, 7), (5, 7), (6, 7)]
    G?qbbs     GcD@X{     GcD@X{ -C-R- [(0, 1), (0, 3), (1, 5), (2, 6), (2, 7), (3, 4), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?qbbw     GHISQ{     GHISQ{ -C-R- [(0, 5), (0, 6), (1, 2), (1, 7), (2, 3), (2, 4), (3, 5), (3, 7), (4, 6), (4, 7), (5, 7), (6, 7)]
    G?qbb{     GSGQZ{     GSGQZ{ -C-R- [(0, 2), (0, 3), (1, 6), (1, 7), (2, 4), (2, 7), (3, 5), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?qbcW     G?DXv?      FBOcW -C-_- [(0, 7), (1, 5), (1, 7), (2, 6), (2, 7), (3, 4), (3, 5), (3, 6), (4, 5), (4, 6)]
    G?qbcw     GFAIP[     GFAIP[ -C-R- [(0, 3), (0, 5), (1, 3), (1, 6), (2, 3), (2, 7), (4, 5), (4, 6), (4, 7), (5, 7), (6, 7)]
    G?qbc{     G?dV@{     G?dV@{ -C-R- [(0, 4), (0, 6), (1, 5), (1, 6), (2, 6), (2, 7), (3, 4), (3, 5), (3, 7), (4, 7), (5, 7), (6, 7)]
    G?qbdO     GAKYLC     GAKYLC -C-R- [(0, 7), (1, 3), (1, 6), (2, 4), (2, 7), (3, 4), (3, 5), (4, 5), (5, 6), (6, 7)]
    G?qbdo     GB`K`[     GB`K`[ -C-R- [(0, 4), (0, 6), (1, 3), (1, 5), (2, 3), (2, 7), (3, 6), (4, 5), (4, 7), (5, 7), (6, 7)]
    G?qbds     GCUBH{     GCUBH{ -C-R- [(0, 3), (0, 5), (1, 4), (1, 6), (2, 6), (2, 7), (3, 4), (3, 7), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?qbeW     GXCIG{     GXCIG{ -C-R- [(0, 2), (1, 2), (1, 6), (2, 3), (3, 4), (3, 7), (4, 5), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?qbe[     GHCMH{     GHCMH{ -C-R- [(0, 6), (1, 2), (1, 6), (2, 3), (2, 7), (3, 4), (3, 7), (4, 5), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?qbe_     G@`LIo     G@`LIo -C-R- [(0, 4), (0, 6), (1, 5), (1, 7), (2, 3), (2, 6), (3, 7), (4, 5), (4, 7), (5, 6)]
    G?qbeo     GdCIH[     GdCIH[ -C-R- [(0, 1), (0, 3), (1, 6), (2, 3), (2, 7), (3, 4), (4, 5), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?qbes     GcCJH{     GcCJH{ -C-R- [(0, 1), (0, 3), (1, 6), (2, 6), (2, 7), (3, 4), (3, 7), (4, 5), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?qbew     GXCKI{     GXCKI{ -C-R- [(0, 2), (0, 6), (1, 2), (1, 7), (2, 3), (3, 4), (3, 7), (4, 5), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?qbe{     GPCMJ{     GPCMJ{ -C-R- [(0, 2), (0, 6), (1, 6), (1, 7), (2, 3), (2, 7), (3, 4), (3, 7), (4, 5), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?qbf?     G?\PcK     G?\PcK -C-R- [(0, 7), (1, 4), (1, 5), (2, 4), (2, 6), (3, 4), (3, 5), (3, 6), (5, 7), (6, 7)]
    G?qbfO     GOLR?{     GOLR?{ -C-R- [(0, 2), (1, 5), (1, 6), (2, 4), (2, 6), (3, 4), (3, 5), (3, 7), (4, 7), (5, 7), (6, 7)]
    G?qbfS     GBHCX{     GBHCX{ -C-R- [(0, 6), (1, 3), (1, 5), (2, 3), (2, 4), (2, 7), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?qbfW     G_La`{     G_La`{ -C-R- [(0, 1), (1, 5), (1, 6), (2, 4), (2, 5), (2, 7), (3, 4), (3, 6), (3, 7), (4, 7), (5, 7), (6, 7)]
    G?qbf[     GBOcZ{     GBOcZ{ -C-R- [(0, 6), (1, 3), (1, 4), (1, 7), (2, 3), (2, 5), (2, 7), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?qbf_     G@dU@[     G@dU@[ -C-R- [(0, 4), (0, 6), (1, 5), (1, 6), (2, 3), (2, 7), (3, 4), (3, 5), (4, 7), (5, 7), (6, 7)]
    G?qbfc     GE`@X{     GE`@X{ -C-R- [(0, 3), (0, 4), (1, 3), (1, 5), (2, 6), (2, 7), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?qbfo     GGMTA{     GGMTA{ -C-R- [(0, 5), (0, 6), (1, 2), (1, 7), (2, 4), (2, 6), (3, 4), (3, 5), (3, 7), (4, 7), (5, 7), (6, 7)]
    G?qbfs     GDIAZ{     GDIAZ{ -C-R- [(0, 3), (0, 5), (1, 6), (1, 7), (2, 3), (2, 4), (2, 7), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?qbfw     G_Lad{     G_Lad{ -C-R- [(0, 1), (0, 7), (1, 5), (1, 6), (2, 4), (2, 5), (2, 7), (3, 4), (3, 6), (3, 7), (4, 7), (5, 7), (6, 7)]
    G?qbf{     GBOc^{     GBOc^{ -C-R- [(0, 6), (0, 7), (1, 3), (1, 4), (1, 7), (2, 3), (2, 5), (2, 7), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?qbr[     GB@LX{     GB@LX{ -C-R- [(0, 6), (1, 3), (1, 5), (2, 3), (2, 6), (2, 7), (3, 7), (4, 5), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?qbrg     G?iRrg     G?iRrg -C-R- [(0, 4), (0, 5), (1, 6), (1, 7), (2, 4), (2, 6), (2, 7), (3, 5), (3, 6), (3, 7), (4, 6), (5, 7)]
